"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Petstore API","0","User","1","0","Get entity","0"
"0","Petstore API","0","Pet","2","0","Get entity","0"
"0","Petstore API","0","Store","1","0","Create entity","0"
"0","Petstore API","0","User","1","0","Create entity","0"
"0","Petstore API","0","Pet","2","0","Negative scenarios","0"
"0","Petstore API","0","User","0","3","Negative scenarios","0"
"0","Petstore API","0","Pet","1","0","Create entity","0"
"0","Petstore API","0","Store","2","0","Negative scenarios","0"
"0","Petstore API","0","Store","1","0","Delete entity","0"
"0","Petstore API","0","User","2","0","Authentication","0"
"0","Petstore API","0","User","1","0","Update entity","0"
"0","Petstore API","0","Pet","1","0","Delete entity","0"
"0","Petstore API","0","Store","1","0","Get entity","0"
"0","Petstore API","0","Pet","1","0","Update entity","0"
"0","Petstore API","0","User","1","0","Delete entity","0"
