"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Get user by username","tests.user","Thu Jul 23 02:55:10 UTC 2026","passed","Thu Jul 23 02:55:10 UTC 2026","TestUser","test_user","",""
"","205","Get pet by status","tests.pet","Thu Jul 23 02:55:07 UTC 2026","passed","Thu Jul 23 02:55:07 UTC 2026","TestPet","test_pet","",""
"","279","Create a new order","tests.store","Thu Jul 23 02:55:07 UTC 2026","passed","Thu Jul 23 02:55:08 UTC 2026","TestStoreOrder","test_store","",""
"","294","Create a new user","tests.user","Thu Jul 23 02:55:09 UTC 2026","passed","Thu Jul 23 02:55:10 UTC 2026","TestUser","test_user","",""
"","272","Create pet with invalid data","tests.pet","Thu Jul 23 02:55:07 UTC 2026","passed","Thu Jul 23 02:55:07 UTC 2026","TestPet","test_pet","",""
"","295","Login with invalid credentials","tests.user","Thu Jul 23 02:55:12 UTC 2026","skipped","Thu Jul 23 02:55:12 UTC 2026","TestUser","test_user","",""
"","521","Create a new pet","tests.pet","Thu Jul 23 02:55:05 UTC 2026","passed","Thu Jul 23 02:55:05 UTC 2026","TestPet","test_pet","",""
"","275","Login with invalid credentials","tests.user","Thu Jul 23 02:55:11 UTC 2026","skipped","Thu Jul 23 02:55:12 UTC 2026","TestUser","test_user","",""
"","300","Login with invalid credentials","tests.user","Thu Jul 23 02:55:12 UTC 2026","skipped","Thu Jul 23 02:55:12 UTC 2026","TestUser","test_user","",""
"","274","Get non-existing order","tests.store","Thu Jul 23 02:55:09 UTC 2026","passed","Thu Jul 23 02:55:09 UTC 2026","TestStoreOrder","test_store","",""
"","75","Get pet by ID","tests.pet","Thu Jul 23 02:55:05 UTC 2026","passed","Thu Jul 23 02:55:05 UTC 2026","TestPet","test_pet","",""
"","149","Delete order","tests.store","Thu Jul 23 02:55:08 UTC 2026","passed","Thu Jul 23 02:55:09 UTC 2026","TestStoreOrder","test_store","",""
"","274","Logout user","tests.user","Thu Jul 23 02:55:11 UTC 2026","passed","Thu Jul 23 02:55:11 UTC 2026","TestUser","test_user","",""
"","146","Update existing user","tests.user","Thu Jul 23 02:55:10 UTC 2026","passed","Thu Jul 23 02:55:10 UTC 2026","TestUser","test_user","",""
"","148","Delete pet","tests.pet","Thu Jul 23 02:55:06 UTC 2026","passed","Thu Jul 23 02:55:06 UTC 2026","TestPet","test_pet","",""
"","77","Get order by ID","tests.store","Thu Jul 23 02:55:08 UTC 2026","passed","Thu Jul 23 02:55:08 UTC 2026","TestStoreOrder","test_store","",""
"","290","Get not existing pet","tests.pet","Thu Jul 23 02:55:07 UTC 2026","passed","Thu Jul 23 02:55:07 UTC 2026","TestPet","test_pet","",""
"","75","Update existing pet","tests.pet","Thu Jul 23 02:55:06 UTC 2026","passed","Thu Jul 23 02:55:06 UTC 2026","TestPet","test_pet","",""
"","289","Create order with invalid data","tests.store","Thu Jul 23 02:55:09 UTC 2026","passed","Thu Jul 23 02:55:09 UTC 2026","TestStoreOrder","test_store","",""
"","70","Login user with valid credentials","tests.user","Thu Jul 23 02:55:11 UTC 2026","passed","Thu Jul 23 02:55:11 UTC 2026","TestUser","test_user","",""
"","137","Delete user","tests.user","Thu Jul 23 02:55:11 UTC 2026","passed","Thu Jul 23 02:55:11 UTC 2026","TestUser","test_user","",""
